,Tensión,Tensión Corriente
581,0.67075764,139.67721
582,0.67253176,140.66488
583,0.67366718,141.60051
584,0.6752198,142.05628
585,0.67543605,141.37755
586,0.67411979,140.50402
587,0.67206457,139.7612
588,0.67066732,138.99335
589,0.66857794,138.19858
590,0.66710022,137.44298
591,0.665465,136.48966
592,0.66392437,135.78346
593,0.66250206,134.73483
594,0.66093674,133.89503
595,0.65913002,133.03743
596,0.65738271,132.52951
597,0.65564906,131.75621
598,0.6538805,130.97589
599,0.65262831,129.8526
600,0.65126413,129.1591
601,0.64962262,128.02942
602,0.64753979,127.31791
